bin_label,date,avw,brightness
0.975-1.025,2024-09-29,506.85037295518663,0.44360325
0.975-1.025,2024-10-07,510.6952551889339,0.41657877
0.975-1.025,2024-10-15,513.7753559298752,0.46691582
0.975-1.025,2024-10-23,513.2007769334114,0.40722793
0.975-1.025,2024-10-31,511.26203113455983,0.3617502
0.975-1.025,2024-11-08,514.5141621893765,0.3687317
0.975-1.025,2024-11-16,515.0319946686188,0.40404698
0.975-1.025,2024-11-24,514.6000596774859,0.49860418
0.975-1.025,2024-12-02,517.2838063521715,0.5066273
0.975-1.025,2024-12-10,513.363766780208,0.52937406
0.975-1.025,2024-12-18,511.5460922837458,0.50354624
0.975-1.025,2024-12-26,513.1633537761361,0.375025
0.975-1.025,2025-01-01,509.6218212328119,0.5381492
0.975-1.025,2025-01-09,511.0347043973495,0.6432995
0.975-1.025,2025-01-17,510.17463370748794,0.5052426
0.975-1.025,2025-01-25,511.4295416577288,0.5201851
0.975-1.025,2025-02-02,512.3346272753272,0.4434205
0.975-1.025,2025-02-10,514.2771580292027,0.41267034
0.975-1.025,2025-02-18,511.95904252320196,0.54456484
0.975-1.025,2025-02-26,510.8674116661351,0.49577168
0.975-1.025,2025-03-06,512.8109698773947,0.41720688
0.975-1.025,2025-03-14,513.3387888207644,0.48423874
0.975-1.025,2025-03-22,513.8610898966876,0.4070235
0.975-1.025,2025-03-30,521.9411701966538,0.39653805
0.975-1.025,2025-04-07,513.36124089774,0.47662276
0.975-1.025,2025-04-15,512.5179792933072,0.44010037
0.975-1.025,2025-04-23,511.67802030353334,0.50912535
4.975-5.025,2024-03-05,572.0324415401633,1.8183429
4.975-5.025,2024-03-13,560.7783296490414,1.170498
4.975-5.025,2024-03-21,574.4281980379652,2.0765357
4.975-5.025,2024-03-29,554.3101698530704,1.248277
4.975-5.025,2024-04-06,562.4192569261526,1.4040146
4.975-5.025,2024-04-14,556.1772866184509,1.2490742
4.975-5.025,2024-04-22,549.1032263584701,0.7139486
4.975-5.025,2024-04-30,552.1145421535687,0.79582644
4.975-5.025,2024-05-08,549.5610317190566,0.8629854
4.975-5.025,2024-05-16,542.2825891068594,0.66496193
4.975-5.025,2024-05-24,553.722302958428,1.0122558
4.975-5.025,2024-06-01,540.2912261672465,0.71047974
4.975-5.025,2024-06-09,540.7822407370597,0.77715886
4.975-5.025,2024-06-17,547.0343455784722,1.2762322
4.975-5.025,2024-06-25,552.6135612795566,1.2274069
4.975-5.025,2024-07-03,539.4424271821268,1.1267204
4.975-5.025,2024-07-11,533.2873898244827,0.68296045
4.975-5.025,2024-07-19,544.0730829206286,0.75963926
4.975-5.025,2024-07-27,527.8527727052708,0.56904185
4.975-5.025,2024-08-04,535.6128483026685,0.64107543
4.975-5.025,2024-08-12,541.4814207446415,0.59230375
4.975-5.025,2024-08-20,533.4658141352219,0.54944265
4.975-5.025,2024-08-28,532.6536442319949,0.6053756
4.975-5.025,2024-09-05,543.8124435522884,0.5890416
4.975-5.025,2024-09-13,559.9981194847561,1.0318208
4.975-5.025,2024-09-21,549.6679102646516,0.77220285
4.975-5.025,2024-09-29,546.2702286356766,0.9850702
4.975-5.025,2024-10-07,557.5718123543086,0.9656778
4.975-5.025,2024-10-15,557.2625061335458,0.7513485
4.975-5.025,2024-10-23,556.6741893683559,0.7998473
4.975-5.025,2024-10-31,554.779240940961,0.72651875
4.975-5.025,2024-11-08,569.3017780117199,1.3196441
4.975-5.025,2024-11-16,565.5023751289457,1.3421848
4.975-5.025,2024-11-24,553.4939188086995,1.0950541
4.975-5.025,2024-12-02,566.9151315514071,1.6395624
